n_sapwood,tree-age,mean_rw
8,145,74.78
8,115,106.9
9,218,70.52
10,115,76.94
10,146,58.6
11,106,100.2
12,131,102.3
12,135,82.35
12,85,87.71
13,163,89.82
14,135,142.8
14,156,102.3
14,218,57.91
15,207,67.47
15,106,78.14
15,201,68.97
15,164,82.93
15,186,64.87
15,104,89.1
15,188,58.31
15,87,87.92
15,259,68.43
15,178,66.7
16,122,79.17
16,101,79.96
16,192,78.13
16,190,64.73
16,142,80.63
16,187,112
16,64,67.05
16,72,87.75
16,97,95.41
16,93,76.43
17,201,57.22
17,180,84.44
17,108,79.6
17,105,76.33
18,100,93.31
18,151,83.31
18,114,110.8
18,163,106.7
18,94,122.3
18,108,106.8
18,126,93.15
18,153,55.1
19,168,63.6
19,171,102.9
19,207,71.27
19,63,125.3
19,207,74.64
19,110,83.74
19,254,83.96
19,190,75.81
19,117,63.55
19,265,59.01
19,160,78.27
19,146,68.32
20,175,92.23
20,197,76.23
20,196,59.31
20,177,83.59
20,94,109.4
20,228,54.02
20,139,62.66
21,131,73.77
21,120,69.11
21,158,77.32
21,183,80.59
21,192,65.53
21,135,77.53
21,103,80.85
22,111,56.59
22,161,96.67
22,184,92
23,92,88.17
23,148,73.15
23,57,64.76
23,151,94.34
23,175,70.06
23,157,90.43
23,194,71.47
24,117,120.7
24,223,56.26
24,181,61.34
25,83,83.69
25,144,65.2
25,183,55.59
25,194,66.37
25,209,68.15
25,89,64.74
25,52,101.3
26,228,69.19
26,138,56.53
26,98,95.49
27,130,96.87
27,153,109.1
27,158,64.69
27,176,68.52
28,191,86.08
28,139,58.64
33,120,121.7
34,210,62.58
36,174,65.38
40,259,56.85
