n_sapwood,count
4,3
5,1
6,3
7,4
8,11
9,24
10,25
11,33
12,30
13,39
14,32
15,39
16,40
17,39
18,22
19,18
20,14
21,12
22,6
23,6
24,11
25,9
26,4
27,5
28,3
29,2
31,2
32,2
33,3
36,1
