n_sapwood,Sohar2012_FWE_c,Sohar2012_ELL_c,Sohar2012_FWE_t,Sohar2012_ELL_t
1,NA,NA,NA,3
2,NA,1,2,12
3,1,NA,3,4
4,NA,NA,1,6
5,4,2,1,5
6,5,12,1,7
7,2,18,5,13
8,2,35,1,39
9,7,60,1,46
10,14,63,8,61
11,9,79,13,77
12,10,94,6,79
13,7,60,11,56
14,5,60,12,50
15,4,30,4,35
16,7,24,2,18
17,8,5,6,7
18,6,7,5,6
19,4,5,5,6
20,2,2,5,1
21,NA,2,2,NA
22,NA,1,2,NA
23,NA,1,NA,2
24,1,NA,1,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,1,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,NA,NA,NA,NA
