n_sapwood,count
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,3
10,5
11,NA
12,6
13,9
14,11
15,7
16,7
17,3
18,1
19,1
20,2
21,4
22,3
23,2
24,2
25,1
26,NA
27,1
28,NA
29,NA
30,NA
31,NA
32,1
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
