n_sapwood,tree-age,mean_rw
4,285,1.036
6,85,1.256
8,72,2.081
8,136,1.151
9,121,1.21
9,74,1.323
9,91,2.366
9,90,1.452
10,115,0.7694
10,68,2.175
10,138,1.399
10,76,1.993
10,73,1.792
10,146,0.586
10,254,0.5839
10,102,1.564
10,92,1.769
10,62,1.789
10,96,1.905
11,75,1.349
11,106,1.002
11,109,0.8637
11,79,1.151
11,61,1.174
11,62,1.627
11,218,1.434
11,201,1.536
11,132,1.646
11,67,1.127
11,92,1.415
11,116,1.415
11,89,1.652
11,86,1.538
11,80,1.821
11,110,1.38
11,71,1.51
11,91,1.76
11,108,1.975
11,66,2.789
12,79,1.278
12,89,2.324
12,71,1.994
12,70,1.586
12,85,1.472
12,123,1.268
12,123,1.583
12,67,1.475
12,114,2.225
12,64,3.051
12,92,2.661
12,93,1.482
12,84,1.112
12,73,1.774
12,73,1.969
12,129,1.815
12,73,2.545
12,74,1.977
13,63,1.75
13,57,1.268
13,100,1.031
13,67,2.307
13,162,1.119
13,103,1.008
13,70,1.451
13,83,2.139
13,77,1.435
13,142,1.661
13,60,1.616
13,108,1.117
13,167,1.2
13,90,1.146
13,167,1.131
13,65,1.748
13,116,1.555
13,144,0.7217
13,86,1.133
13,152,1.017
13,95,1.854
13,78,1.763
13,118,1.201
13,61,2.119
13,74,2.049
13,65,1.244
13,134,1.305
13,68,1.917
14,147,1.115
14,64,1.703
14,72,1.014
14,153,1.013
14,109,1.414
14,160,1.235
14,67,2.039
14,74,2.355
14,103,1.516
14,80,1.671
14,116,1.076
14,139,1.253
14,69,2.687
14,85,1.668
14,57,1.335
14,81,1.091
14,218,0.5791
14,58,2.17
14,58,3.591
14,81,1.186
14,66,1.418
14,65,1.272
14,105,0.8879
14,87,1.542
14,65,1.727
14,80,1.909
14,72,1.005
14,111,1.661
14,181,1.145
14,111,1.373
14,64,1.608
14,76,1.376
14,108,1.49
14,58,2.339
14,57,2.217
14,57,1.567
14,161,0.9637
14,76,1.426
14,116,0.9632
14,57,2.208
14,59,1.5
14,62,1.575
14,81,1.737
15,87,1.2
15,84,1.585
15,73,2.244
15,87,0.8792
15,61,1.912
15,68,1.83
15,100,1.4
15,55,2.374
15,97,1.609
15,146,1.83
15,153,1.131
15,69,1.72
15,55,2.092
15,89,1.51
15,61,1.295
15,105,1.255
15,116,1.62
15,119,0.9234
15,131,1.022
15,90,1.153
15,59,2.045
15,61,1.749
15,55,1.83
15,123,1.452
15,149,1.041
15,94,1.923
15,60,2.158
15,119,1.733
15,87,1.248
15,130,1.037
15,73,1.54
15,185,1.865
15,78,1.719
15,64,1.616
15,115,1.9
15,103,1.989
15,126,0.7793
15,55,1.246
15,70,1.118
15,178,0.667
15,64,2.286
15,148,1.541
15,93,1.688
16,67,0.8024
16,61,2.535
16,72,0.9345
16,266,1.13
16,74,1.419
16,79,1.322
16,85,1.604
16,92,1.345
16,152,1.253
16,59,1.388
16,77,2.094
16,110,1.278
16,79,1.839
16,107,1.752
16,62,2.193
16,78,1.956
16,63,2.117
16,106,1.468
16,66,1.27
16,104,2.503
16,99,1.995
16,85,1.806
16,100,1.771
16,97,0.9541
16,93,0.7643
16,135,0.7954
16,92,1.086
16,62,1.342
16,60,1.806
16,96,1.781
16,64,1.64
16,56,1.42
16,79,1.29
16,122,1.465
16,87,1.804
16,89,1.133
16,63,1.379
16,132,0.888
16,67,1.963
16,65,1.807
16,81,2.093
16,88,1.701
16,95,1.765
16,108,1.137
16,157,1.338
16,97,1.846
16,117,1.438
16,63,1.782
16,118,1.157
16,98,1.039
16,80,1.251
16,86,1.446
16,158,1.434
16,122,1.853
16,159,1.247
16,151,0.6769
16,75,1.548
16,70,0.8588
16,75,0.7359
16,146,1.363
17,112,1.883
