n_sapwood,tree-age,mean_rw
17,149,1.866
17,89,1.107
17,63,1.349
17,105,0.792
17,63,1.241
17,134,1.478
17,75,1.202
17,167,0.9067
17,97,1.585
17,66,1.43
17,117,1.093
17,140,1.464
17,100,1.336
17,82,1.06
17,124,1.428
17,117,1.241
17,116,1.422
17,116,1.077
17,121,1.291
17,88,1.771
17,89,1.186
17,142,1.203
17,91,0.9582
17,97,1.2
17,83,1.527
17,60,1.377
17,97,1.22
17,95,0.9043
17,98,2.051
17,79,1.107
17,65,1.474
17,65,1.835
17,63,1.826
17,55,1.484
17,91,1.446
17,119,1.259
17,173,1.09
17,77,1.025
17,54,1.019
17,113,1.199
17,84,2.117
17,70,0.7148
18,80,1.387
18,98,0.9205
18,60,1.602
18,100,1.405
18,98,1.089
18,89,0.792
18,77,1.698
18,103,0.4321
18,151,0.7129
18,162,1.825
18,66,1.322
18,84,1.121
18,91,1.116
18,89,1.886
18,153,0.551
18,113,1.339
18,62,1.437
18,88,0.926
18,169,0.6734
18,68,1.025
18,124,1.319
18,68,1.287
18,86,1.257
18,209,0.7135
18,98,0.7119
18,86,1.338
18,174,1.383
18,60,1.186
18,59,1.668
18,108,1.068
18,92,0.9369
18,64,2.448
18,80,1.296
18,69,0.891
18,151,1.246
18,68,1.986
18,58,1.705
18,57,2.392
18,171,1.469
18,174,1.703
18,88,1.54
18,129,0.9716
19,98,1.199
19,117,0.6355
19,150,1.148
19,64,1.546
19,103,0.7816
19,136,1.001
19,122,1.304
19,88,1.866
19,99,1.108
19,65,1.592
19,74,1.243
19,56,1.489
19,173,1.523
19,172,1.439
19,85,1.93
19,92,1.712
19,97,1.423
19,146,1.112
19,67,1.661
19,66,1.633
19,85,0.8809
19,51,1.487
19,110,1.542
19,70,0.9419
19,53,1.343
19,99,1.41
19,111,1.207
19,96,1.785
19,93,0.7868
19,123,1.153
19,64,1.023
19,51,1.935
19,68,1.457
19,109,1.184
19,55,1.594
19,128,0.9292
19,62,1.112
19,110,0.9854
19,68,1.8
19,130,1.3
19,171,1.029
19,72,0.9312
19,75,1.371
20,146,1.122
20,103,0.8393
20,72,1.199
20,115,1.392
20,132,1.143
20,60,2.101
20,80,1.265
20,77,1.172
20,69,1.269
20,98,0.9235
20,107,0.8524
20,81,1.526
20,59,1.72
20,177,0.6186
20,108,1.486
20,69,1.506
20,101,1.656
20,130,1.381
20,83,1.716
20,58,0.9663
20,83,0.771
20,61,1.265
20,102,1.311
20,71,1.6
20,93,0.9873
20,121,0.8889
20,89,1.08
20,164,0.8159
20,76,1.473
20,58,1.73
20,65,1.364
20,70,0.7366
21,165,0.4032
21,70,1.168
21,118,0.9965
21,162,1.456
21,103,1.176
21,87,1.211
21,100,1.288
21,87,1.648
21,51,1.379
21,61,1.161
21,102,0.9841
21,59,2.239
21,192,0.6553
21,72,1.626
21,91,1.394
21,107,1.345
21,121,1.36
21,67,0.9183
21,105,1.593
21,79,1.208
21,61,2.26
21,127,0.8789
21,80,1.202
21,72,1.312
21,110,1.055
21,118,1.179
21,126,1.546
21,69,1.674
21,60,1.908
21,66,1.896
21,107,0.4761
21,231,1.261
21,130,2.617
21,115,2.287
22,204,0.9579
22,134,1.417
22,57,1.715
22,54,1.238
22,72,1.071
22,90,1.966
22,128,0.9803
22,86,1.32
22,93,1.265
22,76,1.025
22,107,0.9047
22,206,0.87
22,138,0.8283
22,62,1.219
22,122,1.494
22,126,2.23
22,48,1.086
22,80,1.234
22,63,2.434
22,104,0.8386
22,110,1.175
22,52,1.602
22,104,1.241
22,77,1.596
22,63,1.626
22,99,1.448
22,76,1.076
22,74,1.104
22,127,1.025
22,228,0.8083
22,181,1.136
22,117,1.053
22,77,1.068
22,161,0.9667
22,91,0.9271
23,168,1.492
23,172,1.064
23,109,0.9111
23,56,1.374
23,120,1.141
23,94,1.033
23,48,2.147
23,108,1.5
23,141,1.201
23,88,0.956
23,178,1.004
23,194,0.7147
23,56,1.549
23,107,1.421
23,73,0.6738
23,81,1.213
23,72,1.308
23,52,1.866
23,155,0.7896
23,203,1.851
23,61,1.412
23,104,0.8376
23,62,1.898
23,58,2.17
23,73,1.607
23,95,1.569
23,86,1.579
23,194,0.7547
23,129,1.348
23,63,1.487
23,48,2.205
23,72,1.065
23,94,1.062
23,63,0.9629
23,68,1.967
23,78,1.278
23,97,0.6496
24,69,1.365
24,91,1.024
24,100,1.01
24,81,1.769
24,228,1.697
24,61,1.304
24,81,1.582
24,82,0.7375
24,109,1.113
24,154,0.7354
24,100,0.8494
24,68,1.592
24,74,0.6858
24,48,1.391
24,191,0.7353
24,75,0.6764
24,66,1.587
24,87,1.067
24,73,1.383
24,121,1.378
24,113,0.9693
24,205,1.169
24,96,0.7341
24,70,1.566
25,98,1.17
25,85,1.514
25,65,1.76
25,124,0.9303
25,84,1.764
25,62,1.143
25,97,0.6825
25,61,1.808
25,109,1.099
25,115,1.344
25,144,0.652
25,122,1.614
25,77,1.89
25,138,0.5908
25,83,1.708
25,62,1.246
25,65,1.28
25,118,1.373
25,186,0.9544
25,79,0.8411
25,91,1.146
25,81,2.475
26,100,0.8365
26,67,1.568
26,65,1.192
26,62,1.187
26,52,1.287
26,67,1.389
26,73,1.93
26,73,1.944
26,52,2.509
26,76,1.421
26,138,0.5653
26,64,1.356
26,66,1.232
26,88,1.22
26,70,1.847
26,104,1.253
26,162,1.045
26,51,1.354
26,107,1.36
26,119,0.8441
26,88,2.44
26,150,0.8365
26,91,1.169
27,98,1.045
27,89,1.351
27,73,1.418
27,91,1.454
27,98,0.711
27,284,1.046
27,115,1.11
27,68,0.5486
27,109,0.929
27,113,1.241
27,135,1.175
27,93,0.815
27,60,0.9786
27,152,0.8517
27,121,1.505
27,72,1.064
27,47,1.08
27,60,1.158
28,132,0.9913
28,112,1.062
28,110,0.7478
28,78,1.241
28,112,1.352
28,144,1.128
28,75,1.019
28,137,1.698
29,180,1.575
29,85,1.064
29,115,1.25
29,216,0.7826
29,47,1.744
29,76,1.01
29,242,1.096
30,127,1.583
30,103,1.259
30,122,0.6693
30,135,0.5955
30,147,0.6595
30,136,0.945
30,74,0.9342
30,81,1.464
30,100,0.8198
31,78,1.326
31,180,1.737
31,70,1.49
32,45,1.555
32,114,0.7277
32,103,1.42
32,126,0.7528
32,72,1.079
32,86,0.6378
33,98,0.6122
33,86,1.01
33,56,0.8693
33,93,0.7896
33,95,0.8745
34,74,1.753
34,65,1.466
34,72,1.075
35,153,1.113
35,108,0.8593
35,146,0.895
35,74,0.8296
35,127,1.274
35,138,0.6578
36,101,1.574
36,54,1.014
37,89,0.8767
37,69,1.122
38,59,1.35
38,129,0.8648
38,187,1.378
39,127,0.8798
39,106,1.878
44,196,0.6936
53,48,0.4307
53,49,0.5767
54,72,0.5907
