n_sapwood,count
1,NA
2,NA
3,NA
4,NA
5,NA
6,2
7,1
8,2
9,5
10,8
11,7
12,18
13,21
14,16
15,18
16,15
17,17
18,9
19,14
20,12
21,10
22,14
23,5
24,3
25,1
26,4
27,NA
28,1
29,1
30,1
31,1
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
